Código;VR respuesta rápida – Solucionada (?5 min);VR respuesta rápida – Revisión profunda / OT CAPITALBUS;Observación estándar – Reporte CAPITALBUS
NVD-108;"[VR-OK] NVD-108 – Timestamp no coincide
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-108 – Timestamp no coincide
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): NTP, RTC.
Evidencia mínima a adjuntar: Captura NTP + hora.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-108. Novedad: Timestamp no coincide. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Hora desfasada. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-109;"[VR-OK] NVD-109 – Sin audio en grabaciones
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-109 – Sin audio en grabaciones
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Mic dañado, canal sin audio.
Evidencia mínima a adjuntar: Captura config + prueba.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-109. Novedad: Sin audio en grabaciones. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Video ok, audio mudo. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-110;"[VR-OK] NVD-110 – Exportación falla
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-110 – Exportación falla
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Permisos, storage, app.
Evidencia mínima a adjuntar: Error exacto + captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-110. Novedad: Exportación falla. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: No descarga evidencia. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-111;"[VR-OK] NVD-111 – Archivos corruptos
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-111 – Archivos corruptos
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Apagados bruscos, HDD.
Evidencia mínima a adjuntar: Archivo + log.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-111. Novedad: Archivos corruptos. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: No abre; cortes. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-112;"[VR-OK] NVD-112 – Event recording no dispara
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-112 – Event recording no dispara
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Sensores no integrados, config.
Evidencia mínima a adjuntar: Captura reglas.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-112. Novedad: Event recording no dispara. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: No marca eventos. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-113;"[VR-OK] NVD-113 – Bitrate excesivo saturando disco
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-113 – Bitrate excesivo saturando disco
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Config alta.
Evidencia mínima a adjuntar: Captura parámetros.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-113. Novedad: Bitrate excesivo saturando disco. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Congelamientos; drop frames. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-114;"[VR-OK] NVD-114 – Cámara sin grabación pero live ok
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-114 – Cámara sin grabación pero live ok
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Horario/canal excluido.
Evidencia mínima a adjuntar: Captura calendario.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-114. Novedad: Cámara sin grabación pero live ok. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Canal en vivo, sin playback. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-115;"[VR-OK] NVD-115 – Disco suelto por vibración
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-115 – Disco suelto por vibración
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Soporte flojo.
Evidencia mínima a adjuntar: Foto soporte.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-115. Novedad: Disco suelto por vibración. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Se desconecta en marcha. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-116;"[VR-OK] NVD-116 – Alerta SMART/temperatura HDD
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-116 – Alerta SMART/temperatura HDD
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Mala ventilación.
Evidencia mínima a adjuntar: Log + foto.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-116. Novedad: Alerta SMART/temperatura HDD. Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Eventos de salud. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-117;"[VR-OK] NVD-117 – Tarjeta SD llena/no detectada (si aplica)
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-117 – Tarjeta SD llena/no detectada (si aplica)
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): SD dañada.
Evidencia mínima a adjuntar: Foto + estado.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-117. Novedad: Tarjeta SD llena/no detectada (si aplica). Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: Logs/eventos no guardan. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-118;"[VR-OK] NVD-118 – Cifrado/clave perdida (si aplica)
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-118 – Cifrado/clave perdida (si aplica)
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Validar HDD/SD (SMART/errores), conexiones SATA/energía, espacio y retención; reindexar/formatear si aplica; reemplazar medio si se confirma falla.
Posibles causas (referencia): Gestión de claves.
Evidencia mínima a adjuntar: Error + versión.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-118. Novedad: Cifrado/clave perdida (si aplica). Equipo: NVR / HDD / SD{/CANAL opcional}. Síntoma reportado: No se puede reproducir/exportar. Categoría: Grabación / Almacenamiento. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-200;"[VR-OK] NVD-200 – Bus no reporta al Centro de Gestión
Bus en línea y reportando estable durante la validación.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-200 – Bus no reporta al Centro de Gestión
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): SIM sin datos, APN, antena, router caído, cobertura.
Evidencia mínima a adjuntar: Captura offline + foto LEDs + zona/hora.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-200. Novedad: Bus no reporta al Centro de Gestión. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Equipo offline en CMS; sin telemetría. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-201;"[VR-OK] NVD-201 – Reporte intermitente
Bus en línea y reportando estable durante la validación.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-201 – Reporte intermitente
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Señal débil, antena floja, microcortes energía.
Evidencia mínima a adjuntar: Ventana horaria + zonas.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-201. Novedad: Reporte intermitente. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Online/offline frecuente. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-202;"[VR-OK] NVD-202 – Sin datos móviles (SIM) / plan agotado
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-202 – Sin datos móviles (SIM) / plan agotado
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Plan sin saldo, SIM bloqueada.
Evidencia mínima a adjuntar: Captura estado SIM.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-202. Novedad: Sin datos móviles (SIM) / plan agotado. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: No navega; sin IP. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-203;"[VR-OK] NVD-203 – APN incorrecto
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-203 – APN incorrecto
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Config APN.
Evidencia mínima a adjuntar: Captura config.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-203. Novedad: APN incorrecto. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Registra señal pero sin internet. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-204;"[VR-OK] NVD-204 – Antena LTE dañada/desconectada
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-204 – Antena LTE dañada/desconectada
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Conector suelto, cable cortado.
Evidencia mínima a adjuntar: Foto antena + lectura señal.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-204. Novedad: Antena LTE dañada/desconectada. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Señal muy baja. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-205;"[VR-OK] NVD-205 – Router sin IP / DHCP fallando
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-205 – Router sin IP / DHCP fallando
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Router colgado.
Evidencia mínima a adjuntar: Captura config.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-205. Novedad: Router sin IP / DHCP fallando. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: No entrega red al NVR. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-206;"[VR-OK] NVD-206 – VPN caída / túnel no levanta
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-206 – VPN caída / túnel no levanta
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Certificados, servidor VPN.
Evidencia mínima a adjuntar: Captura estado VPN.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-206. Novedad: VPN caída / túnel no levanta. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: CMS no accede pero internet ok. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-207;"[VR-OK] NVD-207 – Puertos bloqueados / NAT
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-207 – Puertos bloqueados / NAT
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Firewall, NAT incorrecto.
Evidencia mínima a adjuntar: Mensaje error + config.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-207. Novedad: Puertos bloqueados / NAT. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: No abre live/playback. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-208;"[VR-OK] NVD-208 – Latencia alta
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-208 – Latencia alta
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Congestión, cobertura.
Evidencia mínima a adjuntar: Registro ping + captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-208. Novedad: Latencia alta. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Video remoto se congela. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-209;"[VR-OK] NVD-209 – Sin GPS
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-209 – Sin GPS
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Antena GPS, cielo bloqueado.
Evidencia mínima a adjuntar: Captura GPS + foto antena.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-209. Novedad: Sin GPS. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Ubicación nula; sin satélites. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-210;"[VR-OK] NVD-210 – GPS desviado / saltos
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-210 – GPS desviado / saltos
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Multipath, antena.
Evidencia mínima a adjuntar: Captura mapa.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-210. Novedad: GPS desviado / saltos. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Ubicación errática. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-211;"[VR-OK] NVD-211 – Sin sincronía NTP
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-211 – Sin sincronía NTP
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Sin acceso NTP por red.
Evidencia mínima a adjuntar: Captura NTP.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-211. Novedad: Sin sincronía NTP. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Hora incorrecta. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-212;"[VR-OK] NVD-212 – DNS incorrecto
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-212 – DNS incorrecto
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): DNS mal.
Evidencia mínima a adjuntar: Captura config.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-212. Novedad: DNS incorrecto. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Servicios no resuelven. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-213;"[VR-OK] NVD-213 – Módulo 4G en modo 3G/2G
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-213 – Módulo 4G en modo 3G/2G
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Configuración banda.
Evidencia mínima a adjuntar: Captura estado radio.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-213. Novedad: Módulo 4G en modo 3G/2G. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Baja velocidad. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-214;"[VR-OK] NVD-214 – Roaming no permitido
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-214 – Roaming no permitido
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Política operador.
Evidencia mínima a adjuntar: Zona/hora.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-214. Novedad: Roaming no permitido. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Sin datos fuera de ciudad. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-215;"[VR-OK] NVD-215 – Bloqueo por IMEI
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-215 – Bloqueo por IMEI
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Lista negra.
Evidencia mínima a adjuntar: IMEI + reporte operador.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-215. Novedad: Bloqueo por IMEI. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Sin servicio. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
